source,compute_flops,n_params,n_tokens,hex_color,loss_colorbar_cal,loss_epoch_ai
chinchilla_fig4_left,2.2404030389900594e+20,2227466281.342779,16763463924.27754,#7a1f59,2.43601,2.475404538069587
chinchilla_fig4_left,1.701124954407323e+20,1688578016.3686368,16790507929.522745,#7f1e5a,2.46635,2.5052520841348382
chinchilla_fig4_left,2.40484932972211e+20,2242041551.167714,17876931023.495094,#781f59,2.42099,2.464300850287136
chinchilla_fig4_left,3.263798735998679e+20,2907319232.5572543,18710241720.559578,#731f58,2.39121,2.434941196776266
chinchilla_fig4_left,1.7007038688576058e+20,1554241527.7108839,18237232743.811214,#7d1f5a,2.45113,2.494014512040758
chinchilla_fig4_left,1.4801213587686434e+20,1234890894.8732133,19976412017.632915,#821e5a,2.48164,2.5240864505424114
chinchilla_fig4_left,1.684673983715339e+20,1394566484.400694,20133783539.66056,#7f1e5a,2.46635,2.5052520841348382
chinchilla_fig4_left,2.1294345275218936e+20,1570057203.9507143,22604638461.193485,#761f58,2.41351,2.4569279142530447
chinchilla_fig4_left,1.897917969192143e+20,1389801991.2386029,22760052405.027653,#7d1f5a,2.45113,2.494014512040758
chinchilla_fig4_left,2.397041826674863e+20,1750313667.2567523,22824878682.380405,#761f58,2.41351,2.4569279142530447
chinchilla_fig4_left,1.0124274250469546e+21,9068351131.332289,18607341260.91367,#661f54,2.31829,2.3595282724312296
chinchilla_fig4_left,9.28455472165927e+20,6631107226.954843,23335858311.159073,#631f53,2.29685,2.341916558626986
chinchilla_fig4_left,9.947949397311285e+20,4406682750.476579,37624482180.82495,#5c1e51,2.26151,2.303640402958185
chinchilla_fig4_left,9.899211962661368e+20,4406682750.476579,37440150649.94478,#601f52,2.27558,2.3209590623040324
chinchilla_fig4_left,1.57977621803016e+21,6631107226.954843,39706194957.621216,#5b1e51,2.24754,2.293307181295177
chinchilla_fig4_left,2.4421278955911024e+21,9068351131.332289,44883718113.377945,#541e4e,2.21295,2.2592051499614563
chinchilla_fig4_left,1.8579615194006202e+20,1554242738.5261693,19923545116.709118,#7d1f5a,2.45113,2.494014512040758
chinchilla_fig4_left,1.4848572430350057e+20,1234891856.901794,20040314120.573376,#811e5a,2.47398,2.5165346421087142
chinchilla_fig4_left,1.6837253824705456e+20,1394567570.8228397,20122430992.19989,#7d1f5a,2.45113,2.494014512040758
chinchilla_fig4_left,1.7321512279489862e+20,1389803073.949021,20772142236.276306,#7d1f5a,2.45113,2.494014512040758
chinchilla_fig4_left,2.283823915473718e+20,1750315030.8199468,21746789151.853855,#781f59,2.42099,2.464300850287136
chinchilla_fig4_left,2.1494779236780743e+20,1570058427.0870335,22817387839.360554,#781f59,2.42099,2.464300850287136
chinchilla_fig4_left,5.267202350545996e+18,72027174.04979882,12187998071.635918,#d62449,3.07938,3.108464556029377
chinchilla_fig4_left,6.830908879841836e+18,87631936.79658207,12991665537.98429,#cf1e4d,3.0138,3.048504933511402
chinchilla_fig4_left,8.305761398401781e+18,103236754.31425814,13408921808.859217,#ca1a50,2.96779,2.998680336233436
chinchilla_fig4_left,1.0800510871018338e+19,113873482.78973487,15807764029.607704,#c41753,2.91348,2.949663448686964
chinchilla_fig4_left,1.3733020139171678e+19,136340137.73857543,16787695302.542988,#bd1655,2.86896,2.905801241228892
chinchilla_fig4_left,1.91127255002535e+19,170688206.58374378,18662415604.439484,#b71657,2.82511,2.858308985263513
chinchilla_fig4_left,2.3972387782428713e+19,211455768.46389404,18894722015.684006,#ad1759,2.7563,2.790606978320643
chinchilla_fig4_left,2.2438231235124974e+19,191071866.68621463,19572244049.90844,#b01759,2.77335,2.8115866292955167
chinchilla_fig4_left,3.744749704896034e+19,298207689.09171045,20929203828.27765,#9f1a5b,2.66436,2.704172606664561
chinchilla_fig4_left,3.5768593183497437e+19,271586468.82723224,21950402105.790825,#a11a5b,2.67259,2.7122874933645
chinchilla_fig4_left,3.0981257827401716e+19,414294302.9992915,12463466028.502085,#a4195b,2.69744,2.736778556603052
chinchilla_fig4_left,4.1194290447991734e+19,539064753.0692916,12736345746.17192,#9c1b5b,2.6398,2.6799733296868915
